city,lat,lng,pop,province
Hegang,47.40001243,130.3700162,657833.5,Heilongjiang
Nenjiang,49.1799813,125.2300199,79685,Heilongjiang
Nehe,48.48999758,124.8800154,74937.5,Heilongjiang
Mudangiang,44.57501691,129.5900122,954957.5,Heilongjiang
Xuanzhou,30.9525,118.7552778,866000,Anhui
Zhuhai,22.2769444,113.5677778,1023000,Guangdong
Xianyang,34.3455556,108.7147222,1126000,Shaanxi
Xiangfan,32.01999514,112.1300443,765978,Hubei
Suining,30.5333333,105.5333333,1425000,Sichuan
Lingyuan,41.24,119.4011111,806000,Liaoning
Weihai,37.49997072,122.0999784,356425,Shandong
Yichun,27.8333333,114.4,982000,Jiangxi
Yancheng,33.3855556,120.1252778,839000,Jiangsu
Fuyang,30.0533333,119.9519444,771000,Zhejiang
Xiamen,24.44999208,118.080017,1548668.5,Fujian
Nanchong,30.78043256,106.1299971,2174000,Sichuan
Neijiang,29.58037661,105.0500114,1006427,Sichuan
Nanyang,33.00040041,112.5300199,1097766,Henan
Jinxi,40.7503408,120.8299784,1369623.5,Liaoning
Yantai,37.53040814,121.4000211,1417666,Shandong
Zaozhuang,34.88000144,117.5700223,1164332.5,Shandong
Suzhou,31.30047833,120.620017,1496545.5,Jiangsu
Xuzhou,34.28001223,117.1800203,1645096.5,Jiangsu
Wuxi,31.57999615,120.2999849,1428823.5,Jiangsu
Jilin,43.84997072,126.5500427,2138988.5,Jilin
Zhangye,38.9299868,100.4500337,163478,Gansu
Wuwei,37.92800661,102.6410111,493092,Gansu
Dunhuang,40.14267763,94.66201493,139225,Gansu
Tianshui,34.60001853,105.9199841,649883.5,Gansu
Dulan,36.16658958,98.26660111,50,Gansu
Golmud,36.416626,94.88334509,107092,Gansu
Yulin,22.62997398,110.1500101,637742.5,Guangxi
Bose,23.8997156,106.6133268,132942.5,Guangxi
Wuzhou,23.48002545,111.3200162,354080.5,Guangxi
Lupanshui,26.59443483,104.8333321,886256,Guizhou
Quanzhou,24.9000163,118.5799865,823571.5,Fujian
Hefei,31.85003135,117.2800142,1711952,Anhui
Suzhou,33.6361111,116.9788889,1964000,Anhui
Zhanjiang,21.19998374,110.3800219,1113895,Guangdong
Shaoguan,24.79997072,113.5799816,674507.5,Guangdong
Xigaze,29.25000917,88.88334957,59314.5,Xizang
Shache,38.42614158,77.25000281,282391.5,Xinjiang Uygur
Yining,43.90001935,81.35001094,403489,Xinjiang Uygur
Altay,47.86659894,88.11662634,140670.5,Xinjiang Uygur
Shizuishan,39.23327578,106.7690279,109824,Ningxia Hui
Yulin,38.28330792,109.7332914,123415,Shaanxi
Ankang,32.67998069,109.0200016,1025000,Shaanxi
